nccl_dtype,num_gpus,message_size,kernel_source,op_name,latency
half,48,4194304,NCCL,all_reduce,0.17976
half,48,8388608,NCCL,all_reduce,0.2866
half,48,16777216,NCCL,all_reduce,0.45260000000000006
half,48,33554432,NCCL,all_reduce,0.6970000000000001
half,48,67108864,NCCL,all_reduce,1.081
half,48,134217728,NCCL,all_reduce,1.7530000000000001
half,48,268435456,NCCL,all_reduce,3.4974000000000003
half,48,536870912,NCCL,all_reduce,5.8616
half,48,1073741824,NCCL,all_reduce,10.4166
half,48,2147483648,NCCL,all_reduce,19.7024
half,48,4294967296,NCCL,all_reduce,38.54
int8,48,256,NCCL,all_reduce,0.24980000000000002
int8,48,512,NCCL,all_reduce,0.2552
int8,48,1024,NCCL,all_reduce,0.2592
int8,48,2048,NCCL,all_reduce,0.26339999999999997
int8,48,4096,NCCL,all_reduce,0.2686
int8,48,8192,NCCL,all_reduce,0.2752
int8,48,16384,NCCL,all_reduce,0.2764
int8,48,32768,NCCL,all_reduce,0.2798
int8,48,65536,NCCL,all_reduce,0.301
int8,48,131072,NCCL,all_reduce,0.3152
int8,48,262144,NCCL,all_reduce,0.34700000000000003
int8,48,524288,NCCL,all_reduce,0.3474
int8,48,1048576,NCCL,all_reduce,0.3428
int8,48,2097152,NCCL,all_reduce,0.362
int8,48,4194304,NCCL,all_reduce,0.3562
int8,48,8388608,NCCL,all_reduce,0.3788
int8,48,16777216,NCCL,all_reduce,0.5317999999999999
int8,48,33554432,NCCL,all_reduce,0.5732
int8,48,67108864,NCCL,all_reduce,0.8956000000000001
int8,48,134217728,NCCL,all_reduce,1.3228
int8,48,268435456,NCCL,all_reduce,2.1590000000000003
int8,48,536870912,NCCL,all_reduce,4.0522
int8,48,1073741824,NCCL,all_reduce,6.3508000000000004
int8,48,2147483648,NCCL,all_reduce,12.7286
int8,48,4294967296,NCCL,all_reduce,24.882
int8,48,8589934592,NCCL,all_reduce,49.384
half,64,128,NCCL,all_reduce,0.15852000000000002
half,64,256,NCCL,all_reduce,0.10138
half,64,512,NCCL,all_reduce,0.10174
half,64,1024,NCCL,all_reduce,0.10168
half,64,2048,NCCL,all_reduce,0.10054
half,64,4096,NCCL,all_reduce,0.10092000000000001
half,64,8192,NCCL,all_reduce,0.10422000000000001
half,64,16384,NCCL,all_reduce,0.10504000000000001
half,64,32768,NCCL,all_reduce,0.111
half,64,65536,NCCL,all_reduce,0.11554
half,64,131072,NCCL,all_reduce,0.12672
half,64,262144,NCCL,all_reduce,0.14518
half,64,524288,NCCL,all_reduce,0.14682
half,64,1048576,NCCL,all_reduce,0.15106
half,64,2097152,NCCL,all_reduce,0.16406
half,64,4194304,NCCL,all_reduce,0.18526
half,64,8388608,NCCL,all_reduce,0.2888
half,64,16777216,NCCL,all_reduce,0.45880000000000004
half,64,33554432,NCCL,all_reduce,0.6996
half,64,67108864,NCCL,all_reduce,1.0904
half,64,134217728,NCCL,all_reduce,1.7814
half,64,268435456,NCCL,all_reduce,3.5591999999999997
half,64,536870912,NCCL,all_reduce,6.1983999999999995
half,64,1073741824,NCCL,all_reduce,10.6648
half,64,2147483648,NCCL,all_reduce,20.16
half,64,4294967296,NCCL,all_reduce,39.37
int8,64,256,NCCL,all_reduce,0.321
int8,64,512,NCCL,all_reduce,0.32739999999999997
int8,64,1024,NCCL,all_reduce,0.33480000000000004
int8,64,2048,NCCL,all_reduce,0.3398
int8,64,4096,NCCL,all_reduce,0.3454
int8,64,8192,NCCL,all_reduce,0.3504
int8,64,16384,NCCL,all_reduce,0.358
int8,64,32768,NCCL,all_reduce,0.3604
int8,64,65536,NCCL,all_reduce,0.36360000000000003
int8,64,131072,NCCL,all_reduce,0.3704
int8,64,262144,NCCL,all_reduce,0.38780000000000003
int8,64,524288,NCCL,all_reduce,0.38860000000000006
int8,64,1048576,NCCL,all_reduce,0.391
int8,64,2097152,NCCL,all_reduce,0.3986
int8,64,4194304,NCCL,all_reduce,0.40080000000000005
int8,64,8388608,NCCL,all_reduce,0.4066
int8,64,16777216,NCCL,all_reduce,0.5224
int8,64,33554432,NCCL,all_reduce,0.8416
